office_id,hitl_id,constituency,county,triage,status,proposed_lat,proposed_lng,final_lat,final_lng,method,confidence,pip_verified,cluster_peers,notes,applied
116,fe37c3c0-3a85-4fdf-a6e8-0732f9fe2bcd,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
117,257b6526-d39c-4b0a-8cc7-7a833cb81d19,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
118,8ca4d37b-622d-4491-a305-a5f11f7a7b19,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
119,1cc7ecb6-0eb1-4cab-87b2-8add46255a7b,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
120,813724f4-1619-480d-b3c1-c2fd908a0988,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
121,8605c32e-30e7-4166-a04b-353358dfbcae,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
122,edf6816e-d09b-44c1-a535-84fca5de72fa,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
123,4340bccb-0aec-4a29-b638-bbf6dbafa291,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
124,12b7d960-154d-47aa-98c1-f6b261bd6765,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
125,e6cce6df-f575-41fb-a7ae-91fca60dc415,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
126,2033e75a-63bb-45ed-b221-fc5fb127702c,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
127,e13ede3b-0048-4f43-9f71-424014e40050,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
128,8678a525-6280-444c-a8a9-d587dca2a118,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
129,0237948b-5971-4438-a78d-ae874b4a96f5,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
130,909cc88e-c261-47f2-b223-605e7b674023,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
131,fd84aebc-47b7-404f-9859-12721d21292e,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
132,2dd8a84f-8713-40a0-9422-9036379e54d8,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
133,e6f5e4a3-e45d-4f09-993e-604f3b8a6a41,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
134,964b56a6-4a22-4655-a6fd-64420415cff9,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
135,e251451a-f782-4e41-b3ff-c2aee28c47ee,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
136,7fa7b7ca-4015-4a3f-bb47-0c446947d95a,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
137,b1636578-7598-4a90-92a6-3dece060e73a,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
