county,constituency_name,constituency,office_location,clean_office_location,landmark,source,created_at
Turkana,,,Loima DCC's Compound Lorgum DCC's Office 10 Metres,Loima DCC's Compound Lorgum DCC's Office 10 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.257997
West Pokot,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Kapenguria Deputy Commissioner’s Compound DCC Offices 10 Meters,Kapenguria Deputy Commissioner’s Compound DCC Offices 10 Meters,Sigor KVDA KVDA Offices 0 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.261205
Trans Nzoia,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Kwanza KFA Building kitale town KFA Building Within KFA Building,Kwanza KFA Building kitale town KFA Building Within KFA Building,Endebess Endebess Centre DCCs office 150 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.264439
Uasin Gishu,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,"Soy Meadows Plaza, opposite Sirikwa Hotel Meadows plaza","Soy Meadows Plaza, opposite Sirikwa Hotel Meadows plaza","Turbo Within NCCK North headquarters, West Indies NCCK North Headquarters, West Indies 100 Metres",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.265443
Nandi,,,Emgwen Mininstry of Lands Kapsabet Ministry of Lands/ Acc Office 20meters From Tarmac,Emgwen Mininstry of Lands Kapsabet Ministry of Lands/ Acc Office 20meters From Tarmac,Chesumei Cheptarit Catholic Church- Mosoriot Cheptarit Catholic Church Same Location,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.267965
Baringo,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Tiaty Next To Ministry Of Education Offices- Chemolingot,Tiaty Next To Ministry Of Education Offices- Chemolingot,Chemolingot,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.269005
Baringo,,,Opposite Posta Building _ Kabarnet,Opposite Posta Building _ Kabarnet,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.271103
Baringo,,,Compound Satellite,Compound Satellite,Mogotio Behind Boresha Sacco Boresha Sacco- Mogotio Township 70m From The Tarmack,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.272102
Laikipia,,,Compound Nanyuki,Compound Nanyuki,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.275203
Laikipia,,,Compound Nanyuki,Compound Nanyuki,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.277214
Nakuru,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Molo Dcc's Compound - Molo Town Dc's Office - Molo Town 200m From Matatu Terminus,Molo Dcc's Compound - Molo Town Dc's Office - Molo Town 200m From Matatu Terminus,Njoro Aic Church - Compound -Njoro Aic Church - Njoro Inside The Compound,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.277310
Nakuru,,,Rongai IEBC Kampi ya moto behind DC office. Kampi Ya Moto Trading Center 100m,Rongai IEBC Kampi ya moto behind DC office. Kampi Ya Moto Trading Center 100m,Bahati Do's Compound - Kiamaina / Maili Sita - Bahati Do's Office Kiamaina / Maili Sita - Bahati 100 M,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.278218
Nakuru,,,Association(KFA),Association(KFA),,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.279218
Narok,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Kilgoris Old Kilgoris County Council Offices Cooperative Bank Kilgoris 80 Metres,Kilgoris Old Kilgoris County Council Offices Cooperative Bank Kilgoris 80 Metres,Emurua Dikkir Emurua Dikkir Sub County Offices 10 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.281231
Kericho,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Ainamoi County Commissioner's Compound Behind Administration Police and 20 Meters from the County Commissioners,Ainamoi County Commissioner's Compound Behind Administration Police and 20 Meters from the County Commissioners,Children’s Dept. Office Gate,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.292927
Kericho,,,Kipkelion East Within Londian Post Office Londian Post Office Post Office Compound,Kipkelion East Within Londian Post Office Londian Post Office Post Office Compound,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.293469
Bomet,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Chepalungu Sigor AGC Church Junction to Sigor Township 500 Metres,Chepalungu Sigor AGC Church Junction to Sigor Township 500 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.294564
Bomet,,,Konoin Mogogsiek DCC Office Konoin Subcounty Approx. 150 Metres,Konoin Mogogsiek DCC Office Konoin Subcounty Approx. 150 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.295609
Bomet,,,Sotik Ministry of Agriculture Opposite CDF Office Approx. 20 Metres,Sotik Ministry of Agriculture Opposite CDF Office Approx. 20 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.296929
Kakamega,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Lugari Lumakanda Centre Lumakanda P.A.G. Church 95 Metres,Lugari Lumakanda Centre Lumakanda P.A.G. Church 95 Metres,Likuyani At PAG Kongoni Church Compound Next to Likuyani Sub-County Offices 50 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.297539
Vihiga,,,Sabatia DCC Compound Sabatia Eye Hospital 600 Metres,Sabatia DCC Compound Sabatia Eye Hospital 600 Metres,Hamisi Hamisi Youth Empowerment Centre Hamisi Sub-County Hospital 100 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.298080
Bungoma,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Mt. Elgon Kapsokwony Koony House Within Kooni House,Mt. Elgon Kapsokwony Koony House Within Kooni House,Sisiria DCC Compound Sirisia DCC Office 50 Metres From DCC Office,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.298080
Bungoma,,,Webuye East 1st Office at DCC Compound 2nd DCC Compound / Mp Office Approx. 50m from the DCC Office,Webuye East 1st Office at DCC Compound 2nd DCC Compound / Mp Office Approx. 50m from the DCC Office,Office Along Webuye Kitale Road T-Junction 100m from T-Junction,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.300319
Bungoma,,,Infront of Webuye West CDF Offices,Infront of Webuye West CDF Offices,Kimilili Great Lounch Hotel Building Opposite Kimilili Deb Primary 20 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.300823
Bungoma,,,Headquaters,Headquaters,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.302296
Busia,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Teso North DCC's Compound Law Courts 2 Metres,Teso North DCC's Compound Law Courts 2 Metres,Teso South DCC's Compound DCC's building 0 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.303352
