ward_name,constituency,latitude,longitude
Matayos South,Matayos,0.364602004051154,34.1900245894118
Busibwabo,Matayos,0.41826287233073,34.2050707051186
Burumba,Matayos,0.451720217320819,34.1139838225808
Laisamis,Laisamis,1.59725225993367,37.9261989710493
Maua,Igembe South,0.241246008429196,37.9485455645981
Kiegoi/Antubochiu,Igembe South,0.225033839479256,37.9208932203064
Athiru Gaiti,Igembe South,0.205461855217992,38.0124881130884
Akachiu,Igembe South,0.143646575952139,37.9432644080592
Kanuni,Igembe South,0.142808688479831,37.9945846525513
Athiru Ruujine,Igembe Central,0.121644365561264,38.1840195332212
Njia,Igembe Central,0.411184495613195,37.7965992581651
Kangeta,Igembe Central,0.329092835172297,37.8109646753096
Antuambui,Igembe North,0.461248101996585,37.8883386483859
Ntunene,Igembe North,0.439530349256265,37.8365913371971
Naathu,Igembe North,0.512535972563013,37.9548350678076
Amwathi,Igembe North,0.485263452011013,38.0562409701278
Athwana,Tigania West,0.318807969670672,37.6538608629712
Akithii,Tigania West,0.196792025247712,37.742547808817
Kianjai,Tigania West,0.200556282779428,37.6907630386021
Nkomo,Tigania West,0.125084193284701,37.7422480425564
Mbeu,Tigania West,0.053000103779965,37.8215502607552
Mikinduri,Tigania East,0.0844090408132986,37.8578002781139
Kiguchwa,Tigania East,0.173492792238808,37.8588304236536
Muthara,Tigania East,0.348181873306957,37.7013594530124
Karama,Tigania East,0.333529782871397,37.7671793203609
Municipality,North Imenti,0.0569491889530214,37.6397654291972
Ntima East,North Imenti,0.0351437522670332,37.671840174883
Ntima West,North Imenti,0.0757513956805856,37.6524755307724
Nyaki West,North Imenti,0.0832724840118454,37.6762858173323
Nyaki East,North Imenti,0.0333244686570704,37.7694325204377
Kisima,Buuri,0.147737662753431,37.3939887631613
Abothuguchi Central,Central Imenti,-0.0244770468227883,37.6806777385775
Abothuguchi West,Central Imenti,-0.0168076995078997,37.4686764805159
Kiagu,Central Imenti,-0.0667133446244207,37.8200046532503
Kibirichia,Buuri,0.128200959554735,37.5247286868443
Igoji East,South Imenti,-0.176233692977987,37.6993128598333
Igoji West,South Imenti,-0.178338425693807,37.6211098088303
Abogeta East,South Imenti,-0.126030637687475,37.7068007537597
Abogeta West,South Imenti,-0.125053864401372,37.5081053475816
Nkuene,South Imenti,-0.0507795669056767,37.3366323508806
Namwela,Sirisia,0.752675246607619,34.5432755461492
Kabuchai/Chwele,Kabuchai,0.705375619178298,34.5762286786078
Bwake/Luuya,Kabuchai,0.659119599270803,34.6294066977206
Mumoni,Mwingi North,-0.596966080576991,38.0012201717758
Tseikuru,Mwingi North,-0.258408839455337,38.3447236960487
Tharaka,Mwingi North,-0.366580349784707,38.0472585431808
Kyome/Thaana,Mwingi West,-0.982104863476623,37.9344781014237
Nguutani,Mwingi West,-1.09473060297295,37.9234745732347
Migwani,Mwingi West,-1.08066442349246,38.0789692549257
Kiomo/Kyethani,Mwingi West,-0.871503897278463,37.9715822441998
Kivou,Mwingi Central,-0.920073227417356,38.1310149525072
Nguni,Mwingi Central,-0.83469874755485,38.5517913693104
Nuu,Mwingi Central,-1.04216734452458,38.5276951705113
Mui,Mwingi Central,-1.03594660861344,38.2271869557976
South Bukusu,Bumula,0.533131609206977,34.4889557096191
Nakalale,Turkana North,3.67406556600826,35.1723288250846
Kwavonza/Yatta,Kitui Rural,-1.34998762707321,37.7688274663294
Kanyangi,Kitui Rural,-1.77276122065038,37.9295682518386
Miambani,Kitui Central,-1.23390185833329,38.1078217135001
Kyangwithya West,Kitui Central,-1.41309982545764,37.9275794083993
Riwo,Kapenguria,1.43209672165543,35.0433686789161
Suam,Kacheliba,1.45380548418499,34.9053901876589
Kodich,Kacheliba,1.62257359819183,35.047285839154
Kasei,Kacheliba,1.9718595483794,35.2592255568193
KAPCHOK,KACHELIBA,1.81768132104123,35.0850934887928
Kiwawa,Kacheliba,2.11923224394494,35.127284140225
Miritini,Jomvu,-4.01798071096376,39.5852979935191
Chaik,Belgut,-0.406063327158631,35.311098018465
Bumula,Bumula,0.531244289355485,34.4360620476056
Khasoko,Bumula,0.483174864088508,34.4219161063347
Bute,Wajir North,3.26382494936167,39.4528430932368
Nzambani,Kitui East,-1.4222904784651,38.0502360889126
West Bukusu,Bumula,0.596621610614786,34.4784436580958
Khalaba,Kanduyi,0.572148603969927,34.5608972458537
Khalaba,Matungu,0.572148603969927,34.5608972458537
Musikoma,Kanduyi,0.544570455369072,34.5356344310884
Marakaru/Tuuti,Kanduyi,0.642379325754425,34.5274434593274
WEST SANG'ALO,KANDUYI,0.51170076039841,34.586172051544
Mihuu,Webuye East,0.643458596723753,34.7901456861424
Ndivisi,Webuye East,0.708413917706559,34.7963810744179
Maraka,Webuye East,0.577300354397218,34.7577164983822
Misikhu,Webuye West,0.693720890982238,34.7213176123385
Sitikho,Webuye West,0.532721772205723,34.69848962538
Matulo,Webuye West,0.617909299802495,34.7365717653549
HIRIMANI,BURA,-0.98934886346089,39.3501782484754
Mnarani,Kilifi North,-3.69586017656662,39.8246962841263
Mumias North,Mumias West,0.357742881089498,34.5241894074678
Ikutha,Kitui South,-2.05645544149901,38.2259374564044
Athi,Kitui South,-2.44753427124774,38.5395324157564
Mbooni,Mbooni,-1.64884253542589,37.4404529282742
Kithungo/Kitundu,Mbooni,-1.68863439536514,37.4774582905532
Waia/Kako,Mbooni,-1.66211786501103,37.6221310485125
Kasikeu,Kilome,-1.95231940584355,37.3560756526708
Mukaa,Kilome,-1.84757924341817,37.3235174786097
Kiima Kiu/Kalanzoni,Kilome,-1.83493230403553,37.224454710012
Wote,Makueni,-1.7938655207357,37.5985236642739
Mavindini,Makueni,-1.85691057733304,37.8103283015267
Kitise/Kithuki,Makueni,-2.02783728499852,37.8761516202238
Kathonzweni,Makueni,-1.98478710193753,37.7497668016902
Nzaui/Kilili/Kalamba,Makueni,-1.91553725914803,37.5379990823723
Makindu,Kibwezi West,-2.2201985539933,37.7928835885548
Nguumo,Kibwezi West,-2.3350638531713,37.8858942546761
Kikumbulyu North,Kibwezi West,-2.26372398204285,38.0223942155395
Kikumbulyu South,Kibwezi West,-2.36582055357777,37.9950663832988
Nguu/Masumba,Kibwezi West,-2.06905865493416,37.6317576963436
Etenje,Mumias West,0.273568800754404,34.431458371892
Musanda,Mumias West,0.222413041822699,34.4352809352419
BOMANI,TAVETA,-3.41031486333519,37.686787482158
Jarajila,Fafi,-0.397173600009394,40.7497694984682
Fafi,Fafi,-0.436717608347716,40.2845392106946
Korondile,Wajir North,2.77520864066695,39.2251574068211
Elnur/Tula Tula,Eldas,2.21239530460655,39.4846958470251
Takaba South,Mandera West,3.23789559962945,40.3223904945176
Takaba,Mandera West,3.50372824148567,40.077650918882
Benane,Lagdera,0.598801446093328,40.3999591986971
Benane,Wajir South,0.598801446093328,40.3999591986971
Burder,Wajir South,1.22276729044919,40.5246521985525
Junju,Kilifi South,-3.82713347404696,39.7776310726651
Mayoni,Matungu,0.376088448890304,34.460604905553
Namamali,Matungu,0.439136789172168,34.4050300692972
Marama West,Butere,0.243708858611241,34.5664299981255
Marama Central,Butere,0.249694898004018,34.4969504101786
Marama North,Butere,0.204818774242924,34.5804216067234
Marama South,Butere,0.17697867885897,34.4586013319484
Kisa East,Khwisero,0.13678095549924,34.6327658947322
Kisa West,Khwisero,0.131649000737358,34.49853961008
Kisa Central,Khwisero,0.14560574304107,34.5624819571328
Isukha North,Shinyalu,0.358021880400071,34.8837708187677
Murhanda,Shinyalu,0.266533984608171,34.8104067640753
Isukha Central,Shinyalu,0.22408829305036,34.8230982046584
Isukha South,Shinyalu,0.206137362559028,34.7819381164307
Isukha East,Shinyalu,0.278959035836186,34.8935464191323
Isukha West,Shinyalu,0.230425420415465,34.7377461974753
Idakho South,Ikolomani,0.150868698377817,34.7032900645091
